Fate,prop_area,multiplier,Stage,Method
GJ,0.152,3.32,J,Size
GI,0.319,3.24,J,Size
GC,0.01,3,J,Size
SJ,0.061,0.67,J,Size
SI,0,0,J,Size
SC,0,0,J,Size
FiJ,0,0,J,Size
FiI,0.01,2.26,J,Size
FiC,0,0,J,Size
FuJ,0.007,2.95,J,Size
FuI,0.065,1.79,J,Size
FuC,0.048,2.6,J,Size
mort,0.328,0,J,Size
rec,0,1,J,Size
GJ,0,0,I,Size
GI,0.31,1.74,I,Size
GC,0.161,1.73,I,Size
SJ,0.039,0.4,I,Size
SI,0.127,0.95,I,Size
SC,0,0,I,Size
FiJ,0.03,0.58,I,Size
FiI,0.017,0.91,I,Size
FiC,0,0,I,Size
FuJ,0.002,0.56,I,Size
FuI,0.03,1.28,I,Size
FuC,0.092,1.68,I,Size
mort,0.192,0,I,Size
rec,0.066,1,I,Size
GJ,0,0,C,Size
GI,0,0,C,Size
GC,0.302,1.31,C,Size
SJ,0.024,0.14,C,Size
SI,0.184,0.48,C,Size
SC,0.239,0.83,C,Size
FiJ,0.049,0.44,C,Size
FiI,0.061,0.61,C,Size
FiC,0.021,0.84,C,Size
FuJ,0,0,C,Size
FuI,0.008,0.56,C,Size
FuC,0.029,1.73,C,Size
mort,0.083,0,C,Size
rec,0.067,1,C,Size
GJ,0.152,3.32,J,PA
GI,0.293,3.27,J,PA
GC,0.037,2.83,J,PA
SJ,0.063,0.67,J,PA
SI,0,0,J,PA
SC,0,0,J,PA
FiJ,0,0,J,PA
FiI,0.01,2.26,J,PA
FiC,0,0,J,PA
FuJ,0.007,2.95,J,PA
FuI,0.079,2.04,J,PA
FuC,0.034,2.22,J,PA
mort,0.328,0,J,PA
rec,0,1,J,PA
GJ,0,0,I,PA
GI,0.233,1.68,I,PA
GC,0.184,1.93,I,PA
SJ,0.031,0.42,I,PA
SI,0.129,0.81,I,PA
SC,0.013,1.24,I,PA
FiJ,0.031,0.57,I,PA
FiI,0.066,0.79,I,PA
FiC,0,0,I,PA
FuJ,0.002,0.56,I,PA
FuI,0.037,1.42,I,PA
FuC,0.073,1.69,I,PA
mort,0.2,0,I,PA
rec,0.063,1,I,PA
GJ,0,0,C,PA
GI,0.038,1.26,C,PA
GC,0.315,1.31,C,PA
SJ,0.033,0.14,C,PA
SI,0.24,0.6,C,PA
SC,0.181,0.95,C,PA
FiJ,0.049,0.45,C,PA
FiI,0.007,0.21,C,PA
FiC,0.022,0.84,C,PA
FuJ,0,0,C,PA
FuI,0.009,0.56,C,PA
FuC,0.037,1.47,C,PA
mort,0.069,0,C,PA
rec,0.071,1,C,PA
GJ,0.152,3.32,J,Circ
GI,0.074,3.34,J,Circ
GC,0.256,3.2,J,Circ
SJ,0.061,0.67,J,Circ
SI,0,0,J,Circ
SC,0,0,J,Circ
FiJ,0,0,J,Circ
FiI,0,0,J,Circ
FiC,0.01,2.26,J,Circ
FuJ,0.007,2.95,J,Circ
FuI,0.108,2.14,J,Circ
FuC,0.004,1.23,J,Circ
mort,0.328,0,J,Circ
rec,0,1,J,Circ
GJ,0,0,I,Circ
GI,0.219,1.45,I,Circ
GC,0.083,1.84,I,Circ
SJ,0.044,0.28,I,Circ
SI,0.232,0.7,I,Circ
SC,0.088,0.68,I,Circ
FiJ,0.031,0.57,I,Circ
FiI,0.055,0.78,I,Circ
FiC,0.029,0.87,I,Circ
FuJ,0.002,0.56,I,Circ
FuI,0.063,1.63,I,Circ
FuC,0.002,1.23,I,Circ
mort,0.151,0,I,Circ
rec,0.064,1,I,Circ
GJ,0,0,C,Circ
GI,0.107,1.72,C,Circ
GC,0.372,1.69,C,Circ
SJ,0.019,0.48,C,Circ
SI,0.099,0.71,C,Circ
SC,0.126,0.999,C,Circ
FiJ,0.048,0.45,C,Circ
FiI,0.007,0.21,C,Circ
FiC,0.003,0.78,C,Circ
FuJ,0,0,C,Circ
FuI,0.072,1.55,C,Circ
FuC,0.024,1.43,C,Circ
mort,0.124,0,C,Circ
rec,0.069,1,C,Circ
